t,MV,PV,DV
1.300000000000000000e+02,5.000000000000000000e+01,5.431700000000000017e+01,5.000000000000000000e+01
1.310000000000000000e+02,5.000000000000000000e+01,5.441400000000000148e+01,5.000000000000000000e+01
1.320000000000000000e+02,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
1.330000000000000000e+02,5.000000000000000000e+01,5.415599999999999881e+01,5.000000000000000000e+01
1.340000000000000000e+02,5.000000000000000000e+01,5.406000000000000227e+01,5.000000000000000000e+01
1.350000000000000000e+02,5.000000000000000000e+01,5.447899999999999920e+01,5.000000000000000000e+01
1.360000000000000000e+02,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
1.370000000000000000e+02,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
1.380000000000000000e+02,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
1.390000000000000000e+02,5.000000000000000000e+01,5.422099999999999653e+01,5.000000000000000000e+01
1.400000000000000000e+02,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
1.410000000000000000e+02,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
1.420000000000000000e+02,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
1.430000000000000000e+02,5.000000000000000000e+01,5.396300000000000097e+01,5.000000000000000000e+01
1.440000000000000000e+02,5.000000000000000000e+01,5.422099999999999653e+01,5.000000000000000000e+01
1.450000000000000000e+02,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
1.460000000000000000e+02,5.000000000000000000e+01,5.444599999999999795e+01,5.000000000000000000e+01
1.470000000000000000e+02,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
1.480000000000000000e+02,5.000000000000000000e+01,5.418800000000000239e+01,5.000000000000000000e+01
1.490000000000000000e+02,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
1.500000000000000000e+02,5.000000000000000000e+01,5.383400000000000318e+01,5.000000000000000000e+01
1.510000000000000000e+02,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
1.520000000000000000e+02,5.000000000000000000e+01,5.409199999999999875e+01,5.000000000000000000e+01
1.530000000000000000e+02,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
1.540000000000000000e+02,5.000000000000000000e+01,5.438199999999999790e+01,5.000000000000000000e+01
1.550000000000000000e+02,5.000000000000000000e+01,5.412400000000000233e+01,5.000000000000000000e+01
1.560000000000000000e+02,5.000000000000000000e+01,5.428499999999999659e+01,5.000000000000000000e+01
1.570000000000000000e+02,5.000000000000000000e+01,5.425300000000000011e+01,5.000000000000000000e+01
1.580000000000000000e+02,5.000000000000000000e+01,5.399499999999999744e+01,5.000000000000000000e+01
