t,MV,PV,DV,SP,MVI,MVP,MVD,MVFF,MAN
0.000000000000000000e+00,6.000000000000000000e+01,4.377900000000000347e+01,5.000000000000000000e+01,5.900000000000000000e+01,3.037317090660538810e+01,1.443751692220426008e+01,1.518931217119035182e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,6.000000000000000000e+01,4.393999999999999773e+01,5.000000000000000000e+01,5.900000000000000000e+01,-2.842892669838828112e+01,4.348580096967923936e+01,4.494312572870904177e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+01,4.384400000000000119e+01,5.000000000000000000e+01,5.900000000000000000e+01,-2.660971348065090325e+01,4.376300129458554977e+01,4.284671218606535348e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+00,6.000000000000000000e+01,4.381199999999999761e+01,5.000000000000000000e+01,5.900000000000000000e+01,-2.452266956723726565e+01,4.385540140288767219e+01,4.066726816434959346e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,6.000000000000000000e+01,4.368299999999999983e+01,5.000000000000000000e+01,5.900000000000000000e+01,-2.312619067087076985e+01,4.422788933948053369e+01,3.889830133139023616e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+00,6.000000000000000000e+01,4.381199999999999761e+01,5.000000000000000000e+01,5.900000000000000000e+01,-2.029496126295883585e+01,4.385540140288767219e+01,3.643955986007116365e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+01,4.358599999999999852e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.969788169440520420e+01,4.450797716777130120e+01,3.518990452663390300e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+00,6.000000000000000000e+01,4.371500000000000341e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.706369756708871677e+01,4.413548923117841838e+01,3.292820833591029839e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,6.000000000000000000e+01,4.361800000000000210e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.588882110792045665e+01,4.441557705946918588e+01,3.147324404845127077e+01,0.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+00,6.000000000000000000e+01,4.342499999999999716e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.536008914424676419e+01,4.497286521266627801e+01,3.038722393158048618e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.000000000000000000e+01,4.348899999999999721e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.336624373173618352e+01,4.478806499606206870e+01,2.857817873567411482e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+00,6.000000000000000000e+01,4.323100000000000165e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.337648954218304098e+01,4.553304086924779170e+01,2.784344867293524928e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000000e+01,4.339300000000000068e+01,5.000000000000000000e+01,5.900000000000000000e+01,-1.093712151466226246e+01,4.506526532096837911e+01,2.587185619369388334e+01,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+00,6.000000000000000000e+01,4.332800000000000296e+01,5.000000000000000000e+01,5.900000000000000000e+01,-9.947571890409292905e+00,4.525295304095702420e+01,2.469461884945226871e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,6.000000000000000000e+01,4.332800000000000296e+01,5.000000000000000000e+01,5.900000000000000000e+01,-8.635425872445956941e+00,4.525295304095702420e+01,2.338247283148893274e+01,0.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,6.000000000000000000e+01,4.316700000000000159e+01,5.000000000000000000e+01,5.900000000000000000e+01,-8.346984494215892170e+00,4.571784108585200812e+01,2.262914340836388405e+01,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,6.000000000000000000e+01,4.310300000000000153e+01,5.000000000000000000e+01,5.900000000000000000e+01,-7.523810712541493473e+00,4.590264130245622454e+01,2.162116941008526894e+01,0.000000000000000000e+00,1.000000000000000000e+00
